active,airtable_categories,environment,sequence_prefix,obj,light_name,light_sublevel_suffix,camera,default_location,default_rotation,shadow_location,shadow_rotation,default_intensity,default_InnerConeAngle,default_OuterConeAngle,shadow_intensity,shadow_InnerConeAngle,shadow_OuterConeAngle,default_x,default_y,default_z,default_pitch,default_yaw,default_roll,shadow_x,shadow_y,shadow_z,shadow_pitch,shadow_yaw,shadow_roll
TRUE,Sofas,Outdoor,,,right_rim_lgt,Background,TQ,"(X=349.000000,Y=21.000000,Z=56.000000)","(Pitch=0.000000,Yaw=153.000000,Roll=0.000000)",,,0.6,,,,,,349,21,56,0,153,0,,,,,,
TRUE,Sofas,Outdoor,,,sun_lgt,KeyLight,TQ,"(X=0.000001,Y=72.498303,Z=110.031821)","(Pitch=-37.129369,Yaw=-40.014841,Roll=27.398011)",,,2,,,,,,0.000001,72.498303,110.031821,-37.129369,-40.014841,27.398011,,,,,,
TRUE,Sofas,Outdoor,,,sun_top_lgt,Background,TQ,"(X=-142.000000,Y=-18.000000,Z=341.000000)","(Pitch=-65.000000,Yaw=0.000000,Roll=0.000000)",,,5,,,,,,-142,-18,341,-65,0,0,,,,,,
TRUE,Sofas,Outdoor,,,SkyLight,Background,TQ,"(X=0.000000,Y=162.000000,Z=41.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)",,,0.05,,,,,,0,162,41,0,0,0,,,,,,
TRUE,Sofas,Outdoor,,,front_fill_lgt,Background,P,"(X=0.000000,Y=696.000000,Z=52.000000)","(Pitch=4.000000,Yaw=-90.000000,Roll=0.000000)",,,0,,,,,,0,696,52,4,-90,0,,,,,,
TRUE,Sofas,Outdoor,,,right_bounce_lgt,Background,P,"(X=220.000000,Y=280.000000,Z=150.000000)","(Pitch=0.000000,Yaw=-140.000000,Roll=0.000000)",,,2,,,,,,220,280,150,0,-140,0,,,,,,
TRUE,Sofas,Outdoor,,,right_rim_lgt,Background,P,"(X=257.000000,Y=28.000000,Z=230.000000)","(Pitch=0.000000,Yaw=157.218750,Roll=0.000000)",,,1,,,,,,257,28,230,0,157.21875,0,,,,,,
TRUE,Sofas,Outdoor,,,sun_lgt,KeyLight,P,"(X=0.000001,Y=72.498303,Z=110.031821)","(Pitch=-37.129369,Yaw=-40.014841,Roll=27.398011)",,,2,,,,,,0.000001,72.498303,110.031821,-37.129369,-40.014841,27.398011,,,,,,
TRUE,Sofas,Outdoor,,,sun_top_lgt,Background,P,"(X=-142.000000,Y=-18.000000,Z=341.000000)","(Pitch=-65.000000,Yaw=0.000000,Roll=0.000000)",,,5,,,,,,-142,-18,341,-65,0,0,,,,,,
TRUE,Sofas,Outdoor,,,SkyLight,Background,P,"(X=0.000000,Y=162.000000,Z=41.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)",,,0.05,,,,,,0,162,41,0,0,0,,,,,,
TRUE,Sofas,Outdoor,,,front_fill_lgt,Background,TQB,"(X=0.000000,Y=696.000000,Z=52.000000)","(Pitch=4.000000,Yaw=-90.000000,Roll=0.000000)",,,0,,,,,,0,696,52,4,-90,0,,,,,,
TRUE,Sofas,Outdoor,,,right_bounce_lgt,Background,TQB,"(X=220.000000,Y=280.000000,Z=150.000000)","(Pitch=0.000000,Yaw=-140.000000,Roll=0.000000)",,,2,,,,,,220,280,150,0,-140,0,,,,,,
TRUE,Sofas,Outdoor,,,right_rim_lgt,Background,TQB,"(X=277.000000,Y=125.000000,Z=150.000000)","(Pitch=0.000000,Yaw=166.500000,Roll=0.000000)",,,1,,,,,,277,125,150,0,166.5,0,,,,,,
TRUE,Sofas,Outdoor,,,sun_lgt,KeyLight,TQB,"(X=0.000001,Y=72.498303,Z=110.031821)","(Pitch=-37.129369,Yaw=-40.014841,Roll=27.398011)",,,2,,,,,,0.000001,72.498303,110.031821,-37.129369,-40.014841,27.398011,,,,,,
TRUE,Sofas,Outdoor,,,sun_top_lgt,Background,TQB,"(X=-142.000000,Y=-18.000000,Z=341.000000)","(Pitch=-65.000000,Yaw=0.000000,Roll=0.000000)",,,5,,,,,,-142,-18,341,-65,0,0,,,,,,
TRUE,Sofas,Outdoor,,,SkyLight,Background,TQB,"(X=0.000000,Y=162.000000,Z=41.000000)","(Pitch=0.000000,Yaw=0.000000,Roll=0.000000)",,,0.05,,,,,,0,162,41,0,0,0,,,,,,
